ID,Name,Description,Contributor,Citation
abvd,The Austronesian basic vocabulary database,,,"Greenhill, Simon J., Robert Blust, and Russell D. Gray. 2008. The Austronesian basic vocabulary database: From bioinformatics to lexomics. Evolutionary Bioinformatics 4:271–83. doi: 10.4137/EBO.S893. https://abvd.eva.mpg.de. Data from: CLDF dataset derived from Greenhill et al.’s “Austronesian Basic Vocabulary Database” (v2020). https://github.com/lexibank/abvd."
lexirumah,LexiRumah,,,"Kaiping, Gereon A., Owen Edwards, and Marian Klamer. 2019. LexiRumah 3.0.0. Leiden: Leiden University Centre for Linguistics. doi: 10.5281/zenodo.3537977. https://lexirumah.model-ling.eu."
chan2019,Numeral systems of the world’s languages,,,"Chan, Eugene, Hans-Jörg Bibiko, Christoph Rzymski, Simon J Greenhill, and Robert Forkel. 2019. channumerals (v1.0). doi: 10.5281/zenodo.3475912. Derived from Eugene Chan’s “Numeral systems of the world’s languages” (accessed 30 September 2019). https://lingweb.eva.mpg.de/channumerals."
barlowpacific,Numerals of the Pacific: A collection of numeral terms in Austronesian and Papuan languages,,,"Barlow, Russell. 2024. Numerals of the Pacific: A collection of numeral terms in Austronesian and Papuan languages (v1.6). doi: 10.5281/zenodo.13766733."
