ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Number
bant1293,Bantayanon,,11.2144,123.755,bant1293,,100
capi1239,Capiznon,,11.4122,122.954,capi1239,,101
hili1240,Hiligaynon,,10.4018,122.974,hili1240,,102
masb1237,Masbate Sorsogon,,12.8438,124.002,masb1237,,103
masb1238,Masbatenyo,,12.21453,123.63579,masb1238,,104
poro1253,Porohanon,,10.6726,124.454,poro1253,,105
romb1245,Romblomanon,,12.4047,122.56,romb1245,,106
bayb1234,Baybayanon,,10.6956,124.8086,bayb1234,,107
kina1252,Kinabalian,,10.2589,125.2217,kina1252,,108
wara1300,Waray (Philippines),,11.4911,125.012,wara1300,,109
wara1299,Waray Sorsogon,,12.6795,124.015,wara1299,,110
akla1240,Aklanon,,11.55432,122.35413,akla1240,,111
inon1237,Inonhan,,12.284,122.03,inon1237,,112
kina1250,Kinaray-a,,10.8131,122.297,kina1250,,113
sulo1237,Sulod,,11.2473,122.551,sulo1237,,114
cuyo1237,Cuyonon,,10.3201,119.3,cuyo1237,,115
calu1238,Caluyanun,,12.0489,121.384,calu1238,,116
rata1245,Ratagnon,,12.2785,121.187,rata1245,,117
karo1299,Northern Binukidnon,,9.992,122.816,karo1299,,118
maga1264,Southern Binukidnon,,9.49196,122.769,maga1264,,119
ataa1240,Ata,,9.715,122.9,ataa1240,,120
butu1244,Butuanon,,8.87009,125.418,butu1244,,121
taus1251,Tausug,,5.12236,118.88,taus1251,,122
suri1273,Surigaonon,,9.0,126.0,suri1273,,123
tand1258,Tandaganon,,8.9815,126.186,tand1258,,124
cebu1242,Cebuano,,8.38799,124.367,cebu1242,,125
mama1275,Mamanwa,,9.44744,125.548,mama1275,,126
dava1245,Davawenyo,,7.22613,126.458,dava1245,,127
kara1489,Mandaya,,7.50481,126.409,kara1489,,128
mans1262,Mansaka,,6.79221,126.181,mans1262,,129
kama1363,Kamayo,,8.10796,126.314,kama1363,,130
kaga1255,Kagan Kalagan,,7.10698,125.61,kaga1255,,131
kala1388,Kalagan,,6.8126,125.328,kala1388,,132
taga1268,Tagakaulu Kalagan,,6.45338,125.426,taga1268,,133
umir1236,Umiray Dumaget Agta,,14.8757,121.508,umir1236,,134
east2482,Eastern Tawbuid,,12.8968,121.177,east2482,,135
west2559,Western Tawbuid,,12.8227,121.026,west2559,,136
buhi1245,Buhid,,12.6396,121.21,buhi1245,,137
hanu1241,Hanunoo,,12.4159,121.221,hanu1241,,138
kaga1256,Kagayanen,,10.4656,119.872,kaga1256,,139
higa1237,Higaonon,,8.61202,125.071,higa1237,,140
binu1244,Talaandig-Binukid,,8.15933,124.892,binu1244,,141
cina1236,Cinamiguin Manobo,,9.1793,124.721,cina1236,,142
atam1240,Ata Manobo,,7.7789,125.499,atam1240,,143
mati1250,Matigsalug Manobo,,7.72124,125.16,mati1250,,144
agus1235,Agusan Manobo,,8.62731,125.742,agus1235,,145
diba1242,Dibabawon Manobo,,7.85664,126.018,diba1242,,146
raja1254,Rajah Kabunsuwan Manobo,,8.2934,126.266,raja1254,,147
obom1235,Obo Manobo,,7.29141,125.09,obom1235,,148
ilia1236,Ilianen Manobo,,7.34448,124.766,ilia1236,,149
west2555,Western Bukidnon Manobo,,7.6682,124.825,west2555,,150
cota1241,Cotabato Manobo,,6.39417,124.234,cota1241,,151
sara1327,Sarangani Manobo,,5.84903,125.499,sara1327,,152
taga1272,Tagabawa,,6.9712,125.175,taga1272,,153
cent2089,Central Subanen,,8.12701,123.018,cent2089,,154
east2694,Eastern Subanen,,8.2475,123.5234,east2694,,155
nort2885,Northern Subanen,,8.5232,123.588,nort2885,,156
lapu1236,Lapuyan Subanun,,7.53449,123.13,lapu1236,,157
koli1253,Kolibugan Subanon,,7.77212,122.567,koli1253,,158
west2557,Western Subanon,,7.79964,122.341,west2557,,159
bata1301,Batak,,10.1115,119.025,bata1301,,160
cent2090,Central Tagbanwa,,10.6519,119.338,cent2090,,161
tagb1258,Tagbanwa,,9.54263,118.497,tagb1258,,162
molb1237,Molbog,,7.956663,117.030502,molb1237,,163
broo1239,Brooke's Point Palawano,,8.83891,117.871,broo1239,,164
sout2916,Southwest Palawano,,8.67624,117.36,sout2916,,165
cent2091,Central Palawano,,8.77013,117.838,cent2091,,166
taut1234,Taut Batu,,8.88129,117.673091,taut1234,,167
iran1262,Iranun,,4.3362,118.224,iran1262,,168
magu1243,Maguindanao,,6.9453,124.509,magu1243,,169
mara1404,Maranao,,7.79414,124.175,mara1404,,170
mong1342,Mongondow,,0.64616,124.114,mong1342,,171
pono1240,Ponosakan,,0.91716,124.712,pono1240,,172
bint1245,Bintauna,,0.75069,123.486,bint1245,,173
bola1252,Bolango,,0.39044,123.888,bola1252,,174
buol1237,Buol,,0.97727,121.519,buol1237,,175
goro1259,Gorontalo,,0.62689,122.288,goro1259,,176
kaid1239,Kaidipang,,0.85641,123.217,kaid1239,,177
lola1250,Lolak,,0.85544,124.117,lola1250,,178
suwa1241,Suwawa,,0.4907,123.362,suwa1241,,179
alan1249,Alangan,,13.0982,121.022,alan1249,,180
iray1237,Iraya,,13.381,120.65,iray1237,,181
tady1237,Tadyawan,,13.0211,121.305,tady1237,,182
cala1258,Calamian Tagbanwa,,12.0716,120.094,cala1258,,183
agut1237,Agutaynen,,10.5328,119.655,agut1237,,184
atii1237,Ati,,11.1539,122.512,atii1237,,185
gian1241,Giangan,,6.99967,125.359,gian1241,,186
tiru1241,Tiruray,,6.77321,124.127,tiru1241,,187
koro1310,Koronadal Blaan,,6.20529,125.007,koro1310,,188
sara1326,Sarangani Blaan,,6.03691,125.354,sara1326,,189
tbol1240,Tboli,,6.20377,124.538,tbol1240,,190
sang1337,Sangil,,5.40229,125.378,sang1337,,191
sang1336,Sangir,,3.0,125.5,sang1336,,192
tala1285,Talaud,,4.11846,126.795,tala1285,,193
bant1286,Bantik,,1.44586,124.846,bant1286,,194
rata1244,Ratahan,,1.07592,124.858,rata1244,,195
tomb1243,Tombulu,,1.39715,124.754,tomb1243,,196
tond1251,Tondano,,1.28024,124.964,tond1251,,197
tons1240,Tonsea,,1.51393,125.052,tons1240,,198
tont1239,Tontemboan,,1.24813,124.654,tont1239,,199
tons1239,Tonsawang,,1.0539,124.652,tons1239,,200
toto1304,Totoli,,1.14995,120.875,toto1304,,201
boan1243,Boano (Sulawesi),,0.51152,120.992,boan1243,,202
dond1249,Dondo,,0.80348,120.707,dond1249,,203
lauj1238,Lauje,,0.50708,120.262,lauj1238,,204
tomi1243,Tomini,,0.42569,120.89,tomi1243,,205
bala1314,Balaesang,,-0.05644,119.689,bala1314,,206
damp1237,Dampelas,,0.70234,120.219,damp1237,,207
pend1242,Pendau,,-0.11396,119.862,pend1242,,208
taje1237,Taje,,-0.72583,120.078,taje1237,,209
taji1246,Tajio,,-0.31553,120.01,taji1246,,210
andi1257,Andio,,-0.88368,123.174,andi1257,,211
batu1260,Batui,,-1.254442,122.487151,batu1260,,212
salu1253,Saluan,,-2.748,121.3,salu1253,,213
bobo1255,Bobongko,,-0.36759,121.922,bobo1255,,214
bala1315,Balantak,,-0.86809,123.289,bala1315,,215
bang1368,Banggai,,-1.58305,123.171,bang1368,,216
kada1286,Kadai,,-1.74547,125.142,kada1286,,217
tali1262,Taliabu,,-1.79516,124.869,tali1262,,218
baho1237,Bahonsuai,,-2.22572,121.707,baho1237,,219
bung1269,Bungku,,-3.22197,122.212,bung1269,,220
koro1311,Koroni,,-2.6367,121.977,koro1311,,221
kuli1254,Kulisusu,,-4.58411,123.045,kuli1254,,222
mori1268,Mori Bawah,,-2.56016,121.37,mori1268,,223
talo1252,Taloki,,-4.6478,122.872,talo1252,,224
wawo1239,Wawonii,,-4.13587,123.1,wawo1239,,225
moro1287,Moronene,,-4.62361,121.824,moro1287,,226
mori1269,Mori Atas,,-2.2555,121.035,mori1269,,227
pado1242,Padoe,,-2.60642,121.236,pado1242,,228
toma1248,Tomadino,,-2.56493,121.944,toma1248,,229
kode1237,Kodeoha,,-3.39566,120.937,kode1237,,230
raha1237,Rahambuu,,-3.24627,121.059,raha1237,,231
tola1247,Tolaki,,-4.03577,121.888,tola1247,,232
waru1266,Waru,,-3.412,122.058,waru1266,,233
ciac1237,Cia-Cia,,-5.68289,122.791,ciac1237,,234
kumb1274,Kumbewaha,,-5.34485,123.154,kumb1274,,235
lasa1237,Lasalimu,,-5.23602,123.129,lasa1237,,236
buso1238,Busoa,,-5.60524,122.622,buso1238,,237
kaim1241,Kaimbulawa,,-5.65447,122.538,kaim1241,,238
kiok1239,Kioko,,-4.99012,122.951,kiok1239,,239
liab1237,Liabuku,,-5.32268,122.699,liab1237,,240
muna1247,Muna,,-5.40419,122.541,muna1247,,241
panc1247,Pancana,,-5.29587,122.968,panc1247,,242
tuka1248,Tukang Besi North,,-5.30994,123.578,tuka1248,,243
tuka1249,Tukang Besi South,,-5.7478,123.948,tuka1249,,244
bone1254,Bonerate,,-7.37657,121.792,bone1254,,245
bara1371,Baras,,-1.5667,119.342,bara1371,,246
daak1235,Da'a Kaili,,-1.21051,119.527,daak1235,,247
